taxon,loading_comp1,loading_comp2,abs_loading_comp1,abs_loading_comp2,selected_comp1,selected_comp2,in_heatmap
Species|Vicinamibacterales bacterium,0,0,0,0,FALSE,FALSE,FALSE
Species|uncultured Acidobacteriota bacterium,0,0,0,0,FALSE,FALSE,FALSE
Species|Sphaerochaetaceae bacterium,0,0,0,0,FALSE,FALSE,FALSE
Species|Spirochaetia bacterium,0,0,0,0,FALSE,FALSE,FALSE
Species|Nitrospirales bacterium,0,0,0,0,FALSE,FALSE,FALSE
Species|Bdellovibrionales bacterium,0,0,0,0,FALSE,FALSE,FALSE
Phylum|Bacillota,0,0,0,0,FALSE,FALSE,FALSE
Class|Clostridia,0,0,0,0,FALSE,FALSE,FALSE
Order|Lachnospirales,0,0,0,0,FALSE,FALSE,FALSE
Family|Lachnospiraceae,0,0,0,0,FALSE,FALSE,FALSE
Species|Lachnospiraceae bacterium JLR.KK009,0,0,0,0,FALSE,FALSE,FALSE
Species|Lachnospiraceae bacterium JLR.KK008,0,0,0,0,FALSE,FALSE,FALSE
Species|Lachnospiraceae bacterium,0,0,0,0,FALSE,FALSE,FALSE
Species|Lachnospiraceae bacterium GAM79,0,0,0,0,FALSE,FALSE,FALSE
Species|Lachnospiraceae bacterium KGMB03038,0,0,0,0,FALSE,FALSE,FALSE
Species|Lachnospiraceae bacterium oral taxon 500,0,0,0,0,FALSE,FALSE,FALSE
Species|Lachnospiraceae bacterium Choco86,0,0,0,0,FALSE,FALSE,FALSE
Species|Lachnospiraceae bacterium A4,0,0,0,0,FALSE,FALSE,FALSE
Species|Lachnospiraceae bacterium C1.1,0,0,0,0,FALSE,FALSE,FALSE
Species|Lachnospiraceae bacterium oral taxon 096,0,0,0,0,FALSE,FALSE,FALSE
Species|Lachnospiraceae bacterium KM106-2,0,0,0,0,FALSE,FALSE,FALSE
Genus|Enterocloster,0,0,0,0,FALSE,FALSE,FALSE
Species|Enterocloster clostridioformis,0,0,0,0,FALSE,FALSE,FALSE
Species|Enterocloster bolteae,0,0,0,0,FALSE,FALSE,FALSE
Species|Enterocloster lavalensis,0,0,0,0,FALSE,FALSE,FALSE
Genus|Blautia,0,0,0,0,FALSE,FALSE,FALSE
Species|Blautia producta,0,0,0,0,FALSE,FALSE,FALSE
Species|Blautia pseudococcoides,0,0,0,0,FALSE,FALSE,FALSE
Species|Blautia wexlerae,0,0,0,0,FALSE,FALSE,FALSE
Species|Blautia massiliensis (ex Durand et al. 2017),0,0,0,0,FALSE,FALSE,FALSE
Species|Blautia obeum,0,0,0,0,FALSE,FALSE,FALSE
Species|Blautia hydrogenotrophica,0,0,0,0,FALSE,FALSE,FALSE
Species|Blautia faecis,0,0,0,0,FALSE,FALSE,FALSE
Species|Blautia argi,0,0,0,0,FALSE,FALSE,FALSE
Species|Blautia luti,0,0,0,0,FALSE,FALSE,FALSE
Species|Blautia liquoris,0,0,0,0,FALSE,FALSE,FALSE
Species|Blautia hansenii,0,0,0,0,FALSE,FALSE,FALSE
Species|Blautia parvula,0,0,0,0,FALSE,FALSE,FALSE
Genus|Lachnoclostridium,0,0,0,0,FALSE,FALSE,FALSE
Species|[Clostridium] scindens,0,0,0,0,FALSE,FALSE,FALSE
Species|Lachnoclostridium phocaeense,0,0,0,0,FALSE,FALSE,FALSE
Species|[Clostridium] hylemonae,0,0,0,0,FALSE,FALSE,FALSE
Species|Lachnoclostridium sp. Q11,0,0,0,0,FALSE,FALSE,FALSE
Genus|Roseburia,0,0,0,0,FALSE,FALSE,FALSE
Species|Roseburia intestinalis,0,0,0,0,FALSE,FALSE,FALSE
Species|Roseburia sp. 499,0,0,0,0,FALSE,FALSE,FALSE
Species|Roseburia sp. 831b,0,0,0,0,FALSE,FALSE,FALSE
Species|Roseburia faecis,0,0,0,0,FALSE,FALSE,FALSE
Species|Roseburia hominis,0,0,0,0,FALSE,FALSE,FALSE
Species|Roseburia rectibacter,0,0,0,0,FALSE,FALSE,FALSE
Genus|Mediterraneibacter,0,0,0,0,FALSE,FALSE,FALSE
Species|Mediterraneibacter gnavus,0,0,0,0,FALSE,FALSE,FALSE
Species|Mediterraneibacter flintii,0,0,0,0,FALSE,FALSE,FALSE
Species|Mediterraneibacter glycyrrhizinilyticus,0,0,0,0,FALSE,FALSE,FALSE
Species|[Ruminococcus] torques,0,0,0,0,FALSE,FALSE,FALSE
Species|Mediterraneibacter faecis,0,0,0,0,FALSE,FALSE,FALSE
